timestamp	name	val_metric	det_map	cls_map	n_preds	time_s	status	config
2026-03-20 08:32	baseline	0.8719	0.9002	0.8061	19848	132	kept	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 08:34	wbf-iou-0.45	0.8658	0.8945	0.7990	17907	133	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.45, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 08:36	wbf-iou-0.50	0.8700	0.8988	0.8029	18818	133	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.5, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 08:38	wbf-iou-0.60	0.8746	0.9025	0.8093	21091	135	kept	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.6, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 08:41	wbf-iou-0.65	0.8775	0.9046	0.8140	22637	133	kept	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.65, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 08:43	wbf-w-1-1-2	0.8738	0.9020	0.8081	19845	130	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 1, 2]}
2026-03-20 08:45	wbf-w-1-3-3	0.8713	0.8998	0.8047	19843	137	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 3, 3]}
2026-03-20 08:47	wbf-w-0-1-2	0.8637	0.8923	0.7971	19605	126	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [0, 1, 2]}
2026-03-20 08:50	wbf-w-1-1-1	0.8744	0.9028	0.8082	19826	127	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 1, 1]}
2026-03-20 08:52	wbf-w-1-2-5	0.8701	0.8983	0.8043	19860	132	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 5]}
2026-03-20 08:54	wbf-skip-0.001	0.8719	0.9002	0.8061	19848	132	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.001, "wbf_weights": [1, 2, 3]}
2026-03-20 08:56	wbf-skip-0.01	0.8823	0.9098	0.8181	9439	134	kept	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.01, "wbf_weights": [1, 2, 3]}
2026-03-20 08:59	wbf-skip-0.05	0.8755	0.9026	0.8124	5770	132	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.05, "wbf_weights": [1, 2, 3]}
2026-03-20 09:01	conf-0.005	0.8812	0.9084	0.8178	11826	132	rejected	{"conf": 0.005, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 09:03	conf-0.01	0.8823	0.9098	0.8181	9439	133	kept	{"conf": 0.01, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 09:05	conf-0.0005	0.8676	0.8961	0.8010	23060	133	rejected	{"conf": 0.0005, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 09:08	nms-iou-0.5	0.8810	0.9080	0.8181	20798	135	rejected	{"conf": 0.001, "nms_iou": 0.5, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 09:10	nms-iou-0.6	0.8762	0.9031	0.8133	20800	135	rejected	{"conf": 0.001, "nms_iou": 0.6, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 09:12	nms-iou-0.8	0.8689	0.8981	0.8007	18565	127	rejected	{"conf": 0.001, "nms_iou": 0.8, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 09:14	maxdet-300	0.8764	0.9039	0.8123	13774	127	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 300, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 09:16	maxdet-700	0.8712	0.8995	0.8052	22834	120	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 700, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 2, 3]}
2026-03-20 09:18	scales-2pass	0.8695	0.8981	0.8030	17883	87	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 3]}
2026-03-20 09:19	scales-1280-only-tta	0.8574	0.8859	0.7909	13837	68	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1]}
2026-03-20 09:21	scales-4pass	0.8755	0.9035	0.8102	25391	127	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [1, 1, 2, 3]}
2026-03-20 09:24	scales-1280-1600	0.8694	0.8973	0.8045	20438	153	rejected	{"conf": 0.001, "nms_iou": 0.7, "max_det": 500, "wbf_iou_thr": 0.55, "wbf_skip_thr": 0.0001, "wbf_weights": [2, 3, 1]}
